provinsi_id,kabupaten_id,kepadatan_penduduk,tingkat_pendidikan,tingkat_pengangguran,akses_air_bersih,akses_listrik,fasilitas_kesehatan,jalan_aspal,luas_sawah,pendapatan_perkapita,jenis_wilayah,kemiskinan
29,506,8651.581940523602,6.575732251905361,13.983747122412936,90.06858877471643,88.85991887049302,16,48.12684369599831,1345.391014468273,1771941.3494493817,urban,0
15,193,323.6965578639318,6.9250749203607755,6.384454603432607,92.2634927366593,46.816013756012644,15,34.44730409762776,6531.075856999316,1583357.1383649886,urban,1
8,68,203.3670474800926,14.1852339228581,4.539844298385782,78.39006764482991,75.55452881843374,8,76.3265210278986,1314.5369949594535,2103201.3039284777,rural,0
21,494,373.43575301041074,10.850924221558245,2.452651367253458,62.64062265198634,97.2390767231182,14,64.00519468154047,5620.19509956183,5353990.012132206,urban,0
19,52,430.14246633824183,4.626993887130404,17.633066370637636,33.14104309972469,86.06805144811544,23,57.267508461339055,796.9338890471486,1712893.972409102,rural,1
23,363,120.20153251712797,12.260532251713073,7.32912787986309,82.70105311431742,88.79944091023047,16,44.28281840290981,12169.018033187569,3675007.5162471198,rural,0
11,474,57.57787018138502,11.483105687853579,11.592600934337689,79.89329147885212,84.742180533921,13,83.95587882127332,2537.8871304329705,1035472.9118895857,urban,1
11,431,364.73681163698956,7.796968844279279,1.9621906780328193,90.54856915358965,73.32081243170289,16,43.939058664944106,4618.628136934647,3382155.6564508923,rural,0
24,298,264.6918345449698,9.266742355074594,12.781250814921057,84.13208177968177,88.98724094130517,13,73.62131943074318,1157.693075260921,5589779.618266373,rural,0
24,435,44.0429304975783,8.462639801447315,7.132736381487453,71.2380480658701,67.57694343836569,14,80.93009320391641,9562.420380865657,1797078.9347045661,urban,1
3,198,1247.0716688588961,13.431449761117332,16.479354704488323,76.345116151934,89.93836369211743,21,54.085468248129956,17247.581916954023,4253813.097836934,rural,0
22,128,230.44864848798656,6.509274527519774,8.268782257206713,70.97929105908273,86.99835014367136,12,68.81031365775921,1819.8370320305833,3201328.7725038994,rural,0
2,411,443.51385588901786,8.865026524439317,5.718583121536355,94.84431582297277,93.04744483743372,15,61.6244011767862,1143.2763576856319,789704.8561139334,rural,0
24,65,1197.368284920498,7.429636672517988,4.9958526648693145,92.91655837756674,82.96827105571327,5,64.39801983379296,3847.7964162646067,2227023.3135838304,urban,0
30,241,153.36692175459132,4.917398988455364,3.0902904562649565,73.98749813484527,89.32366141513988,9,44.24907213378463,15846.253612191496,2959742.86686795,rural,0
2,369,238.75263369331205,13.979095637637467,5.036066654212574,59.58569281360643,91.74337900825515,15,50.543345432057265,7202.728443087097,4923936.301964406,urban,0
21,384,500.21642649540723,5.546083552243969,8.371378639850207,78.12379119903366,79.80599923873973,12,37.56130529460373,20598.20394997205,2266358.6924773753,urban,0
33,431,50.034280189534314,9.05032296871944,9.410811196769334,72.5506009978878,98.30216746198329,8,30.795850964038134,10416.595690163444,3991740.0011908147,rural,0
12,83,160.94738241485302,4.148248484049161,2.6940314421297713,84.61785330820607,83.63505347092504,14,50.70384765666815,5799.273385468079,1608086.376238987,rural,1
22,286,179.1678148855526,7.502323651892267,1.4117976311686926,44.18052823903394,81.40812536849155,18,36.81743950022852,1020.5184867694117,876861.3956385918,rural,1
25,459,35.371703787673205,9.554922053583644,6.70637385199935,82.57535880251167,85.03341447866775,11,56.67508215489428,10623.76882739744,465190.62870366534,urban,0
27,212,4800.403150280482,6.438165051244093,1.0184791182956578,96.84556023586008,81.90888258656625,17,44.039805364791825,4657.932888290283,1203718.835019516,urban,1
28,126,17.97640086708318,9.967004626839138,5.11814863835053,95.12691765309745,94.0898208448246,19,63.27113489597209,3004.3294124202707,437089.13354864897,urban,0
16,413,21.175484996296145,7.827397270279794,1.6185308452483251,80.95755305229665,79.22629097781346,12,78.96483746654945,3470.9478533182587,694715.8297262866,rural,1
15,499,1065.6496195077334,11.400206280996533,9.145978614005775,83.34253561571894,95.33828065707834,10,64.06018008376779,16609.459694866353,210233.53415708532,urban,0
3,425,432.63714578827046,11.904402283350558,3.82395026766432,74.93243824906382,96.08073098728583,19,52.26681922028678,55.62699055905303,1043544.5420473777,urban,0
7,158,31.85049023134981,7.0331380981749705,4.222240710483895,72.12236324186404,74.70831891983917,15,54.921266660268174,6935.3752066015895,598782.3407037089,rural,1
21,112,369.0505116647368,8.691832148482392,1.3210918617980076,63.85246822742848,86.31420837814349,19,51.68224565561788,7179.463486518121,1488142.550135501,rural,0
9,402,1341.811260925531,8.958635566180583,10.833872276160093,67.41027084459597,67.29456873254142,14,38.05858270430835,500.9364648094081,2039532.0104867574,urban,0
18,122,141.82663247072503,10.048373238586747,6.188276315954511,95.49558929171252,88.93379357706449,15,64.53302160833182,16940.799836056634,555249.3464225183,rural,0
4,273,7319.039262958739,8.535954990610664,6.353751123179521,90.5369255995196,92.3432829599368,14,54.449662813296705,3421.352298121183,6101921.242189587,rural,0
25,294,11.17754979108885,8.975527398357105,1.6924723629816996,92.7655475180332,84.53456814288475,15,86.52547181936465,6280.573764625059,5893040.935259152,rural,0
14,398,420.2018456811853,7.891483813012202,0.9128684437388159,89.10665892488701,80.91999425501145,11,45.01086041989881,2779.828266966439,1743543.0809965688,urban,1
9,471,853.8815674165317,8.788099667430046,2.677373338307433,56.903121058300734,91.13033774789696,11,35.217165490702826,1904.0040913065782,2985275.6306721675,urban,0
26,207,565.107428724626,11.744850483837832,3.7475167244822494,80.97202808101106,80.4058012579582,17,83.05544524545905,4219.621003887641,2335686.9957377235,urban,0
2,110,109.23116430800805,10.115208103029635,2.6087969840258363,80.85994818192563,89.97499861291966,17,79.79485242452627,11133.764877684955,1245184.4093932377,urban,0
20,440,95.99900021468835,10.253139098608422,16.529792006408094,85.98989773125354,95.51308257445469,13,29.276605887709696,5110.529984477489,626957.4594249813,rural,0
28,278,288.9396251091604,10.307675810338946,11.030053565282374,96.38438612778705,88.24671182560539,20,57.300815443266664,5292.79373614437,1211791.6529846403,urban,0
7,482,504.53223362774537,8.11547805529741,5.216971461827027,75.328584705735,94.01335768619703,11,54.672491287212154,1903.5127034939412,1292233.4496367818,urban,0
8,114,366.3943287667666,9.297067608948826,2.85973112626717,78.81098166215523,92.06916903186365,14,55.48832062300233,1333.9554288388688,5217677.667783996,urban,0
14,477,706.3330272013955,5.787065804160639,2.003900198754608,74.38666277125944,86.1812128811882,19,76.1206771595265,4944.72199732105,5545899.771193393,rural,0
17,321,32.19126248723736,11.672019140792393,5.041529470658077,64.13880737515666,83.88876482220023,12,81.97869578452554,788.8537303766452,773294.6860240442,rural,1
4,179,105.46124414133989,1.5425989191419491,6.502045980222897,76.08303327093071,66.17077310406742,24,64.71983567089232,2957.1765052456612,1940298.2516268182,rural,0
2,219,36.23321000815077,8.282129019161436,3.587462751754969,61.091860420368796,94.61104115823082,18,82.30340918667926,1436.858798912337,2692838.562567152,rural,0
6,492,83.16535342108762,11.352239942875686,7.1943599544244385,63.35113206259692,72.43684743164852,11,58.35499748584907,6116.503155233612,18633900.5701515,urban,0
4,61,680.5023923903776,5.090330165926646,3.3634568919939536,61.94572969570052,96.11063803918934,16,87.9336737772155,3830.259549079035,556764.0956704011,urban,1
29,54,174.50892406139945,9.499449794042128,1.9817152232666855,98.77939853263086,84.08401178159264,16,62.35947003968379,528.3899066763178,10892071.080904871,rural,0
18,65,7407.799752603638,6.798083883552433,7.207138879266468,88.36535942377883,75.37685644908177,10,61.05841230705822,4103.671340512116,1737695.129874424,rural,1
